United,98,MCO,4/15/2014 09:20:00,DEN,4/15/2014 13:54:00,747,
United,125,DEN,4/19/2014 10:20:00,MCO,4/19/2014 15:43:00,767,
Delta,256,MCO,4/21/2014 05:20:00,DEN,4/21/2014 10:41:00,747,
Delta,54,DEN,4/23/2014 12:50:00,MCO,4/23/2014 17:34:00,767,
USAir,62,HVN,4/25/2014 09:20:00,LIT,4/25/2014 13:12:00,747,
USAir,345,HNL,4/30/2014 16:40:00,SFO,4/30/2014 21:20:00,767,
United,98,BHM,4/15/2014 09:20:00,HVN,4/15/2014 13:54:00,747,
United,125,SAV,4/19/2014 10:20:00,LIT,4/19/2014 15:43:00,767,
Delta,256,SFO,4/21/2014 05:20:00,SAV,4/21/2014 10:41:00,747,
Delta,54,LIT,4/23/2014 12:50:00,TUS,4/23/2014 17:34:00,767,
USAir,62,HVN,4/25/2014 09:20:00,TUS,4/25/2014 13:12:00,747,
USAir,345,DEN,4/30/2014 16:40:00,HNL,4/30/2014 21:20:00,767,
USAir,345,TUS,4/30/2014 16:40:00,ANC,4/30/2014 21:20:00,767,
USAir,345,ANC,4/30/2014 16:40:00,TUS,4/30/2014 21:20:00,767,
American,345,ANC,4/30/2014 16:40:00,SFO,4/30/2014 21:20:00,767,
American,345,SFO,4/30/2014 16:40:00,ANC,4/30/2014 21:20:00,767,
